150,687
300,1323
450,101
600,753
750,2927
900,4050
1050,3003
1200,3630
1350,4194
1500,895
1650,8767
1800,3506
1950,2945
2100,6650
2250,2695
2400,4999
2550,6709
2700,2350
2850,6356
3000,1894
3150,4048
3300,7367
3450,16571
3600,35594
3750,337
3900,36309
4050,437
4200,11758
4350,20835
4500,2243
4650,46953
4800,3564
4950,293
5100,1152
5250,692
5400,845
5550,3824
5700,9153
5850,702
6000,1536
6150,36336
6300,27127
6450,18810
6600,92582
6750,1872
6900,6091
7050,33797
7200,40519
7350,27262
7500,6370
7650,121687
7800,24740
7950,6205
8100,6115
8250,101535
8400,51442
8550,22799
8700,984
8850,3553
9000,48604
9150,101403
9300,21044
9450,14532
9600,70472
9750,7376
9900,9875
10050,6686
10200,24179
10350,40559
10500,103600
10650,25255
10800,24725
10950,33823
11100,3031
11250,21441
11400,1882
11550,3344
11700,44462
11850,51374
12000,8320
12150,23073
12300,62879
12450,4628
12600,2155
12750,91002
12900,86074
13050,15747
13200,41655
13350,44694
13500,43177
13650,5846
13800,56794
13950,36167
14100,3740
14250,151214
14400,54092
14550,72805
14700,17865
14850,5001
15000,69901
