150,75,687
300,150,1323
450,225,101
600,300,753
750,375,2927
900,450,4050
1050,525,3003
1200,600,3630
1350,675,4194
1500,750,895
1650,825,8767
1800,900,3506
1950,975,2945
2100,1050,6650
2250,1125,2695
2400,1200,4999
2550,1275,6709
2700,1350,2350
2850,1425,6356
3000,1500,1894
3150,1575,4048
3300,1650,7367
3450,1725,16571
3600,1800,35594
3750,1875,337
3900,1950,36309
4050,2025,437
4200,2100,11758
4350,2175,20835
4500,2250,2243
4650,2325,46953
4800,2400,3564
4950,2475,293
5100,2550,1152
5250,2625,692
5400,2700,845
5550,2775,3824
5700,2850,9153
5850,2925,702
6000,3000,1536
6150,3075,36336
6300,3150,27127
6450,3225,18810
6600,3300,92582
6750,3375,1872
6900,3450,6091
7050,3525,33797
7200,3600,40519
7350,3675,27262
7500,3750,6370
7650,3825,121687
7800,3900,24740
7950,3975,6205
8100,4050,6115
8250,4125,101535
8400,4200,51442
8550,4275,22799
8700,4350,984
8850,4425,3553
9000,4500,48604
9150,4575,101403
9300,4650,21044
9450,4725,14532
9600,4800,70472
9750,4875,7376
9900,4950,9875
10050,5025,6686
10200,5100,24179
10350,5175,40559
10500,5250,103600
10650,5325,25255
10800,5400,24725
10950,5475,33823
11100,5550,3031
11250,5625,21441
11400,5700,1882
11550,5775,3344
11700,5850,44462
11850,5925,51374
12000,6000,8320
12150,6075,23073
12300,6150,62879
12450,6225,4628
12600,6300,2155
12750,6375,91002
12900,6450,86074
13050,6525,15747
13200,6600,41655
13350,6675,44694
13500,6750,43177
13650,6825,5846
13800,6900,56794
13950,6975,36167
14100,7050,3740
14250,7125,151214
14400,7200,54092
14550,7275,72805
14700,7350,17865
14850,7425,5001
15000,7500,69901
