150,149,543
300,299,846
450,449,2578
600,599,1101
750,749,1221
900,899,3679
1050,1049,5002
1200,1199,280
1350,1349,13338
1500,1499,7563
1650,1649,8126
1800,1799,3957
1950,1949,4892
2100,2099,1865
2250,2249,5533
2400,2399,4217
2550,2549,2602
2700,2699,10615
2850,2849,28872
3000,2999,11430
3150,3149,2789
3300,3299,7111
3450,3449,16728
3600,3599,3269
3750,3749,1376
3900,3899,25231
4050,4049,19992
4200,4199,3296
4350,4349,8955
4500,4499,13960
4650,4649,5868
4800,4799,86
4950,4949,19627
5100,5099,6977
5250,5249,9109
5400,5399,17928
5550,5549,42625
5700,5699,1346
5850,5849,2518
6000,5999,28109
6150,6149,41570
6300,6299,30448
6450,6449,2034
6600,6599,3579
6750,6749,14589
6900,6899,7803
7050,7049,9556
7200,7199,10558
7350,7349,1826
7500,7499,1491
7650,7649,2608
7800,7799,67225
7950,7949,8432
8100,8099,5208
8250,8249,7594
8400,8399,18831
8550,8549,11670
8700,8699,38707
8850,8849,9742
9000,8999,23742
9150,9149,20650
9300,9299,450
9450,9449,17181
9600,9599,18371
9750,9749,76521
9900,9899,2327
10050,10049,4191
10200,10199,24299
10350,10349,37690
10500,10499,23924
10650,10649,14816
10800,10799,24959
10950,10949,55599
11100,11099,10390
11250,11249,95153
11400,11399,14558
11550,11549,26897
11700,11699,29867
11850,11849,11346
12000,11999,45818
12150,12149,7030
12300,12299,48842
12450,12449,98233
12600,12599,19607
12750,12749,16682
12900,12899,46252
13050,13049,19687
13200,13199,7607
13350,13349,5260
13500,13499,4308
13650,13649,5473
13800,13799,64972
13950,13949,16308
14100,14099,25079
14250,14249,11439
14400,14399,3094
14550,14549,3990
14700,14699,25143
14850,14849,19246
15000,14999,51071
