150,149,27
300,299,47
450,449,70
600,599,69
750,749,83
900,899,99
1050,1049,111
1200,1199,137
1350,1349,142
1500,1499,172
1650,1649,174
1800,1799,177
1950,1949,194
2100,2099,203
2250,2249,217
2400,2399,242
2550,2549,250
2700,2699,284
2850,2849,278
3000,2999,303
3150,3149,305
3300,3299,334
3450,3449,337
3600,3599,353
3750,3749,362
3900,3899,398
4050,4049,393
4200,4199,426
4350,4349,431
4500,4499,463
4650,4649,455
4800,4799,474
4950,4949,494
5100,5099,497
5250,5249,513
5400,5399,534
5550,5549,545
5700,5699,567
5850,5849,564
6000,5999,587
6150,6149,588
6300,6299,606
6450,6449,634
6600,6599,651
6750,6749,667
6900,6899,683
7050,7049,685
7200,7199,702
7350,7349,715
7500,7499,738
7650,7649,736
7800,7799,764
7950,7949,784
8100,8099,792
8250,8249,806
8400,8399,818
8550,8549,847
8700,8699,858
8850,8849,866
9000,8999,887
9150,9149,906
9300,9299,908
9450,9449,915
9600,9599,955
9750,9749,951
9900,9899,971
10050,10049,986
10200,10199,999
10350,10349,1023
10500,10499,1044
10650,10649,1036
10800,10799,1057
10950,10949,1075
11100,11099,1099
11250,11249,1097
11400,11399,1109
11550,11549,1136
11700,11699,1140
11850,11849,1151
12000,11999,1168
12150,12149,1184
12300,12299,1190
12450,12449,1226
12600,12599,1225
12750,12749,1232
12900,12899,1270
13050,13049,1268
13200,13199,1274
13350,13349,1305
13500,13499,1304
13650,13649,1325
13800,13799,1363
13950,13949,1355
14100,14099,1364
14250,14249,1395
14400,14399,1393
14550,14549,1412
14700,14699,1449
14850,14849,1446
15000,14999,1447
