150,149,333
300,299,1240
450,449,2699
600,599,3521
750,749,5282
900,899,7468
1050,1049,10651
1200,1199,13212
1350,1349,16980
1500,1499,21512
1650,1649,25822
1800,1799,28116
1950,1949,33070
2100,2099,38112
2250,2249,43763
2400,2399,49751
2550,2549,56101
2700,2699,64914
2850,2849,70051
3000,2999,78299
3150,3149,85496
3300,3299,93827
3450,3449,102514
3600,3599,111488
3750,3749,121082
3900,3899,131070
4050,4049,141044
4200,4199,152094
4350,4349,162900
4500,4499,174111
4650,4649,185921
4800,4799,198281
4950,4949,211414
5100,5099,224733
5250,5249,236970
5400,5399,252680
5550,5549,266295
5700,5699,289118
5850,5849,294001
6000,5999,309570
6150,6149,324768
6300,6299,341043
6450,6449,357723
6600,6599,378761
6750,6749,391434
6900,6899,414269
7050,7049,426346
7200,7199,445484
7350,7349,463634
7500,7499,483122
7650,7649,501920
7800,7799,522744
7950,7949,542305
8100,8099,563209
8250,8249,584015
8400,8399,604314
8550,8549,625960
8700,8699,648199
8850,8849,670942
9000,8999,694131
9150,9149,716940
9300,9299,742722
9450,9449,764853
9600,9599,789215
9750,9749,816922
9900,9899,840633
10050,10049,865550
10200,10199,890419
10350,10349,919017
10500,10499,947734
10650,10649,972991
10800,10799,1000525
10950,10949,1028470
11100,11099,1056790
11250,11249,1084089
11400,11399,1112447
11550,11549,1142001
11700,11699,1175515
11850,11849,1204932
12000,11999,1235371
12150,12149,1267097
12300,12299,1295267
12450,12449,1326744
12600,12599,1358803
12750,12749,1391836
12900,12899,1424552
13050,13049,1457744
13200,13199,1491493
13350,13349,1525815
13500,13499,1560512
13650,13649,1595500
13800,13799,1631794
13950,13949,1666637
14100,14099,1702682
14250,14249,1738708
14400,14399,1775428
14550,14549,1813001
14700,14699,1850743
14850,14849,1887885
15000,14999,1926560
