Corrida,Clocks,Tiempo
0,2089,0.002089
1,2043,0.002043
2,4435,0.004435
3,4759,0.004759
4,5655,0.005655
5,10746,0.010746
6,10518,0.010518
7,10090,0.01009
8,9834,0.009834
9,13324,0.013324
10,12969,0.012969
11,16426,0.016426
12,15479,0.015479
13,16056,0.016056
14,18038,0.018038
15,16645,0.016645
16,17358,0.017358
17,19860,0.01986
18,19939,0.019939
19,23605,0.023605
20,31535,0.031535
21,24950,0.02495
22,32982,0.032982
23,36069,0.036069
24,29882,0.029882
25,31792,0.031792
26,43126,0.043126
27,27500,0.0275
28,30527,0.030527
29,34307,0.034307
30,36442,0.036442
31,36254,0.036254
32,34390,0.03439
33,37536,0.037536
34,35131,0.035131
35,32945,0.032945
36,40091,0.040091
37,39555,0.039555
38,44907,0.044907
39,39720,0.03972
40,47918,0.047918
41,48285,0.048285
42,45883,0.045883
43,47858,0.047858
44,43579,0.043579
45,50428,0.050428
46,46189,0.046189
47,51293,0.051293
48,46432,0.046432
49,49839,0.049839
50,50561,0.050561
51,55832,0.055832
52,55153,0.055153
53,57975,0.057975
54,60268,0.060268
55,56069,0.056069
56,59848,0.059848
57,58576,0.058576
58,62528,0.062528
59,65094,0.065094
60,60616,0.060616
61,63951,0.063951
62,62600,0.0626
63,71269,0.071269
64,64631,0.064631
65,65753,0.065753
66,66483,0.066483
67,67924,0.067924
68,70343,0.070343
69,71494,0.071494
70,68924,0.068924
71,77950,0.07795
72,77786,0.077786
73,76699,0.076699
74,77186,0.077186
75,78384,0.078384
76,74536,0.074536
77,71333,0.071333
78,84198,0.084198
79,78679,0.078679
80,87169,0.087169
81,86873,0.086873
82,91292,0.091292
83,89607,0.089607
84,86770,0.08677
85,90188,0.090188
86,84909,0.084909
87,98732,0.098732
88,102995,0.102995
89,102250,0.10225
90,92814,0.092814
91,98290,0.09829
92,93445,0.093445
93,100915,0.100915
94,97431,0.097431
95,90579,0.090579
96,98277,0.098277
97,103221,0.103221
98,102466,0.102466
99,109364,0.109364
