150,543
300,846
450,2578
600,1101
750,1221
900,3679
1050,5002
1200,280
1350,13338
1500,7563
1650,8126
1800,3957
1950,4892
2100,1865
2250,5533
2400,4217
2550,2602
2700,10615
2850,28872
3000,11430
3150,2789
3300,7111
3450,16728
3600,3269
3750,1376
3900,25231
4050,19992
4200,3296
4350,8955
4500,13960
4650,5868
4800,86
4950,19627
5100,6977
5250,9109
5400,17928
5550,42625
5700,1346
5850,2518
6000,28109
6150,41570
6300,30448
6450,2034
6600,3579
6750,14589
6900,7803
7050,9556
7200,10558
7350,1826
7500,1491
7650,2608
7800,67225
7950,8432
8100,5208
8250,7594
8400,18831
8550,11670
8700,38707
8850,9742
9000,23742
9150,20650
9300,450
9450,17181
9600,18371
9750,76521
9900,2327
10050,4191
10200,24299
10350,37690
10500,23924
10650,14816
10800,24959
10950,55599
11100,10390
11250,95153
11400,14558
11550,26897
11700,29867
11850,11346
12000,45818
12150,7030
12300,48842
12450,98233
12600,19607
12750,16682
12900,46252
13050,19687
13200,7607
13350,5260
13500,4308
13650,5473
13800,64972
13950,16308
14100,25079
14250,11439
14400,3094
14550,3990
14700,25143
14850,19246
15000,51071
