150,27
300,47
450,70
600,69
750,83
900,99
1050,111
1200,137
1350,142
1500,172
1650,174
1800,177
1950,194
2100,203
2250,217
2400,242
2550,250
2700,284
2850,278
3000,303
3150,305
3300,334
3450,337
3600,353
3750,362
3900,398
4050,393
4200,426
4350,431
4500,463
4650,455
4800,474
4950,494
5100,497
5250,513
5400,534
5550,545
5700,567
5850,564
6000,587
6150,588
6300,606
6450,634
6600,651
6750,667
6900,683
7050,685
7200,702
7350,715
7500,738
7650,736
7800,764
7950,784
8100,792
8250,806
8400,818
8550,847
8700,858
8850,866
9000,887
9150,906
9300,908
9450,915
9600,955
9750,951
9900,971
10050,986
10200,999
10350,1023
10500,1044
10650,1036
10800,1057
10950,1075
11100,1099
11250,1097
11400,1109
11550,1136
11700,1140
11850,1151
12000,1168
12150,1184
12300,1190
12450,1226
12600,1225
12750,1232
12900,1270
13050,1268
13200,1274
13350,1305
13500,1304
13650,1325
13800,1363
13950,1355
14100,1364
14250,1395
14400,1393
14550,1412
14700,1449
14850,1446
15000,1447
