150,333
300,1240
450,2699
600,3521
750,5282
900,7468
1050,10651
1200,13212
1350,16980
1500,21512
1650,25822
1800,28116
1950,33070
2100,38112
2250,43763
2400,49751
2550,56101
2700,64914
2850,70051
3000,78299
3150,85496
3300,93827
3450,102514
3600,111488
3750,121082
3900,131070
4050,141044
4200,152094
4350,162900
4500,174111
4650,185921
4800,198281
4950,211414
5100,224733
5250,236970
5400,252680
5550,266295
5700,289118
5850,294001
6000,309570
6150,324768
6300,341043
6450,357723
6600,378761
6750,391434
6900,414269
7050,426346
7200,445484
7350,463634
7500,483122
7650,501920
7800,522744
7950,542305
8100,563209
8250,584015
8400,604314
8550,625960
8700,648199
8850,670942
9000,694131
9150,716940
9300,742722
9450,764853
9600,789215
9750,816922
9900,840633
10050,865550
10200,890419
10350,919017
10500,947734
10650,972991
10800,1000525
10950,1028470
11100,1056790
11250,1084089
11400,1112447
11550,1142001
11700,1175515
11850,1204932
12000,1235371
12150,1267097
12300,1295267
12450,1326744
12600,1358803
12750,1391836
12900,1424552
13050,1457744
13200,1491493
13350,1525815
13500,1560512
13650,1595500
13800,1631794
13950,1666637
14100,1702682
14250,1738708
14400,1775428
14550,1813001
14700,1850743
14850,1887885
15000,1926560
